RID,At7,At2,At5,At1,At4,At6,At3,Class,Deep,Support,Reliability,Class Distribution,Simplicity
1,V-G1,V-B3,V-E2,V-A2,V-D2,V-F2,V-C1,CLS2,7.0,1,1.0,"1,0",0.1428571428571428
2,V-G1,V-B3,V-E2,V-A2,V-D2,V-F2,V-C1,CLS3,7.0,3,1.0,"0,3",0.4285714285714285
3,V-G1,V-B4,,,,,,CLS3,2.0,2,1.0,"0,2",1.0
4,V-G2,V-B4,V-E3,V-A5,V-D2,V-F2,V-C3,CLS4,7.0,1,1.0,"0,1",0.1428571428571428
5,V-G2,V-B4,V-E3,V-A5,V-D2,V-F2,V-C3,CLS5,7.0,4,1.0,"4,0",0.5714285714285714
6,V-G4,V-B1,V-E4,V-A3,V-D5,V-F1,V-C3,CLS1,7.0,1,1.0,"1,0",0.1428571428571428
7,V-G4,V-B1,V-E4,V-A3,V-D5,V-F1,V-C3,CLS4,7.0,2,1.0,"0,2",0.2857142857142857
8,V-G4,V-B2,V-E1,V-A1,V-D4,V-F4,V-C2,CLS2,7.0,1,1.0,"1,0",0.1428571428571428
9,V-G4,V-B2,V-E1,V-A1,V-D4,V-F4,V-C2,CLS4,7.0,1,1.0,"0,1",0.1428571428571428
10,V-G5,,,,,,,CLS2,1.0,5,1.0,"5,0,0,0,0",5.0
,,,,,,,,,,21,,,8.0
